Use Case Type,Packet Loss Budget,Latency Budget (ns),Jitter Budget (ns),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (ns),Slice Packet Loss,Slice Jitter (ns),Slice Type,Slice Handover,latency_margin,loss_margin,jitter_margin,stress_ratio,sla_met
Smart City,0.0,0,0,0,no,yes,7432.286529480073,2713916.1698705475,0.0005217500736146,2597684.8009315943,umMTC,no,-2713916.1698705475,-0.0005217500736146,-2597684.8009315943,inf,0
VR/AR,,0,0,1000,no,no,3477.462411051511,1911701.0639482955,0.000451994577682,2101243.217232937,feMBB,yes,-1911701.0639482955,,-2101243.217232937,3.477462411051511,0
Servo motors,,100,1000,0,no,no,5834.28483393771,2445437.1351810847,0.0002674867709984,2014877.554235222,ERLLC,yes,-2445337.1351810847,,-2013877.554235222,inf,0
Servo motors,,100,1000,0,no,no,6487.5886788588805,1573636.7663595036,0.0002699588531915,2129952.618192558,ERLLC,yes,-1573536.7663595036,,-2128952.618192558,inf,0
Smart City,0.0,0,0,0,no,yes,11.165495238089534,2320395.601496415,0.0006870287578937,1471484.9108187049,umMTC,no,-2320395.601496415,-0.0006870287578937,-1471484.9108187049,inf,0
Servo motors,,100,1000,0,no,no,6519.0252957549565,1680215.2858376033,0.0005860150163293,3069678.09892614,ERLLC,yes,-1680115.2858376033,,-3068678.09892614,inf,0
VR/AR,,0,0,1000,no,no,7307.885390133802,1457165.6649883636,0.0006580561782844,2375199.359338929,feMBB,yes,-1457165.6649883636,,-2375199.359338929,7.3078853901338015,0
VR/AR,,0,0,1000,no,no,6826.786942163992,2154665.27860312,0.0003266980113682,2256075.903205493,feMBB,yes,-2154665.27860312,,-2256075.903205493,6.8267869421639915,0
Smart City,0.0,0,0,0,no,yes,8422.389126994449,2119847.2657718267,0.0005479624384621,1793719.5621691088,umMTC,no,-2119847.2657718267,-0.0005479624384621,-1793719.5621691088,inf,0
Delivery drones,,1000000,0,0,yes,no,6608.967942962567,2607741.323399938,0.0008762534738541,1076945.6876681892,MBRLLC,yes,-1607741.3233999382,,-1076945.6876681892,inf,0
Motion control,,1000,1000000,0,no,no,4105.247698596035,1143623.8914468351,0.0004604866145186,2453613.033289043,ERLLC,yes,-1142623.8914468351,,-1453613.0332890432,inf,0
V2X,,1000000,0,0,yes,no,7065.31205550306,2618077.0511513604,0.0005083975858583,2492277.115516252,MBRLLC,yes,-1618077.0511513604,,-2492277.115516252,inf,0
Delivery drones,,1000000,0,0,yes,no,4010.6551934544,2086595.258546697,0.0005018534120817,2396440.061080501,MBRLLC,yes,-1086595.258546697,,-2396440.061080501,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5137.849471922473,2711973.139830801,0.000481776440976,2060977.4261731675,mURLLC,yes,-1711973.1398308012,,-2060977.4261731675,inf,0
VR/AR,,0,0,1000,no,no,6386.66682512316,2705090.5370551804,0.0003700968526646,1851578.2372222303,feMBB,yes,-2705090.5370551804,,-1851578.2372222303,6.38666682512316,0
Remote health monitoring,,1000000,0,0,no,yes,5747.226693440492,377641.3901765966,0.0005073058611053,2824327.355249798,mURLLC,yes,622358.6098234034,,-2824327.355249798,inf,0
Delivery drones,,1000000,0,0,yes,no,7252.161464418297,2699089.092167234,0.0007712855310221,2314749.535390816,MBRLLC,yes,-1699089.092167234,,-2314749.535390816,inf,0
V2X,,1000000,0,0,yes,no,9147.876380615307,2728713.157766321,0.0004916003863411,2188183.2013213383,MBRLLC,yes,-1728713.1577663212,,-2188183.2013213383,inf,0
V2X,,1000000,0,0,yes,no,3105.0829907379925,1161124.6863989136,0.000703506195909,1024044.5119798311,MBRLLC,yes,-161124.68639891362,,-1024044.5119798311,inf,0
3D/UHD Video,,0,0,1000,no,no,4453.327858003656,958747.8028983328,0.0009760312384358,777928.4109469897,feMBB,yes,-958747.8028983328,,-777928.4109469897,4.4533278580036555,0
V2X,,1000000,0,0,yes,no,5527.744541210089,2516483.0008630725,0.0003643966978357,3549809.5715956343,MBRLLC,yes,-1516483.0008630725,,-3549809.5715956343,inf,0
Motion control,,1000,1000000,0,no,no,4228.592292979316,2075741.306214759,0.0005900459676407,2551847.3632419044,ERLLC,yes,-2074741.306214759,,-1551847.3632419044,inf,0
V2X,,1000000,0,0,yes,no,4874.335503548252,1571721.305482679,0.0003059434487821,2864491.68873476,MBRLLC,yes,-571721.305482679,,-2864491.68873476,inf,0
Delivery drones,,1000000,0,0,yes,no,6293.403373857402,2959188.9200316686,0.0004765559553434,920669.94636251,MBRLLC,yes,-1959188.9200316686,,-920669.94636251,inf,0
3D/UHD Video,,0,0,1000,no,no,6071.906734222717,2201694.105613031,0.0009158368267854,2662005.59046807,feMBB,yes,-2201694.105613031,,-2662005.59046807,6.0719067342227175,0
Delivery drones,,1000000,0,0,yes,no,5412.679995054756,609387.0424082424,0.0006078259621773,1810616.264620646,MBRLLC,yes,390612.95759175764,,-1810616.264620646,inf,0
Delivery drones,,1000000,0,0,yes,no,5246.6928836898405,1321610.1488448302,0.0005510675356544,2074251.5061822704,MBRLLC,yes,-321610.1488448302,,-2074251.5061822704,inf,0
Smart Home,0.0,0,0,0,no,yes,4627.420420866389,2694892.1495454703,0.0003028774415673,2360237.5061512296,umMTC,no,-2694892.1495454703,-0.0003028774415673,-2360237.5061512296,inf,0
3D/UHD Video,,0,0,1000,no,no,7341.137311939622,2023867.1058931064,0.0003991658808144,2119962.2142463387,feMBB,yes,-2023867.1058931064,,-2119962.2142463387,7.341137311939622,0
Delivery drones,,1000000,0,0,yes,no,7772.537496182231,1520178.2646274962,0.0003607517378539,2116073.4907949893,MBRLLC,yes,-520178.26462749625,,-2116073.4907949893,inf,0
Smart Home,0.0,0,0,0,no,yes,6698.353537013516,2301657.239427105,0.0003283736518724,1412243.3297528576,umMTC,no,-2301657.239427105,-0.0003283736518724,-1412243.3297528576,inf,0
Smart Home,0.0,0,0,0,no,yes,3085.063916321387,1594865.9888608302,0.0006381343393888,2407926.8785666227,umMTC,no,-1594865.9888608302,-0.0006381343393888,-2407926.8785666227,inf,0
3D/UHD Video,,0,0,1000,no,no,4563.526318347553,1168602.018962771,0.0006149667132042,1405860.4816720383,feMBB,yes,-1168602.018962771,,-1405860.4816720383,4.563526318347552,0
Remote health monitoring,,1000000,0,0,no,yes,5333.243321961512,2677807.8122187983,0.0004725285934709,1449730.6818812643,mURLLC,yes,-1677807.8122187983,,-1449730.6818812643,inf,0
Motion control,,1000,1000000,0,no,no,3432.832569217596,2778354.4488657834,0.0004089302744128,2069150.91074564,ERLLC,yes,-2777354.4488657834,,-1069150.91074564,inf,0
V2X,,1000000,0,0,yes,no,5132.292993930759,2320757.1219233624,0.0006210388278326,1159055.835711053,MBRLLC,yes,-1320757.1219233624,,-1159055.835711053,inf,0
Motion control,,1000,1000000,0,no,no,5037.532617258316,976932.2005332152,0.0007807558717327,2783708.670215008,ERLLC,yes,-975932.2005332152,,-1783708.6702150078,inf,0
V2X,,1000000,0,0,yes,no,6807.21626794962,3233450.617600536,0.0006652246588894,2787427.95505728,MBRLLC,yes,-2233450.617600536,,-2787427.95505728,inf,0
Delivery drones,,1000000,0,0,yes,no,4170.09898227556,3210692.1082356824,0.0005182263118669,1716377.0394615992,MBRLLC,yes,-2210692.1082356824,,-1716377.0394615992,inf,0
VR/AR,,0,0,1000,no,no,6939.144263308113,2848697.6107041603,0.0006536831460987,1832753.163519902,feMBB,yes,-2848697.6107041603,,-1832753.163519902,6.939144263308114,0
3D/UHD Video,,0,0,1000,no,no,3405.046167723717,2202501.9894728744,0.0006613567255037,2023744.147625733,feMBB,yes,-2202501.9894728744,,-2023744.147625733,3.405046167723717,0
Motion control,,1000,1000000,0,no,no,3637.5709770973535,2060716.740733088,0.0005254578988856,688034.4374057853,ERLLC,yes,-2059716.740733088,,311965.5625942147,inf,0
Motion control,,1000,1000000,0,no,no,4368.292714164643,2291524.086835649,0.000525298779524,1018922.112601298,ERLLC,yes,-2290524.086835649,,-18922.112601298024,inf,0
Delivery drones,,1000000,0,0,yes,no,5080.278499126903,1238936.4856813422,0.0004120221525209,2480875.064869828,MBRLLC,yes,-238936.4856813422,,-2480875.064869828,inf,0
Remote health monitoring,,1000000,0,0,no,yes,973.3820830625708,1636676.4197460758,0.0006381038685437,2259807.783021972,mURLLC,yes,-636676.4197460758,,-2259807.783021972,inf,0
Smart Home,0.0,0,0,0,no,yes,5765.91939275733,1609163.862530075,0.000471908014593,1759006.3340572808,umMTC,no,-1609163.862530075,-0.000471908014593,-1759006.3340572808,inf,0
Delivery drones,,1000000,0,0,yes,no,7849.119329154295,2404779.710935209,0.0003367971379663,1708732.149955578,MBRLLC,yes,-1404779.710935209,,-1708732.149955578,inf,0
Servo motors,,100,1000,0,no,no,6085.84073503426,2164711.161793948,0.0003425680194777,2473781.334825337,ERLLC,yes,-2164611.161793948,,-2472781.334825337,inf,0
Smart Home,0.0,0,0,0,no,yes,4649.418566979197,1361142.5243737376,0.0004932715146222,744579.2876759865,umMTC,no,-1361142.5243737376,-0.0004932715146222,-744579.2876759865,inf,0
3D/UHD Video,,0,0,1000,no,no,3193.028961397724,938267.8363371864,0.0003424509687296,3254155.468960668,feMBB,yes,-938267.8363371864,,-3254155.468960668,3.1930289613977236,0
Smart Home,0.0,0,0,0,no,yes,1979.098444124269,2237081.677303322,0.0009532863808852,2614619.779915659,umMTC,no,-2237081.677303322,-0.0009532863808852,-2614619.779915659,inf,0
Remote health monitoring,,1000000,0,0,no,yes,2262.401129411924,1291190.7780256737,0.0005812519420731,1733719.7324496452,mURLLC,yes,-291190.7780256737,,-1733719.7324496452,inf,0
Smart Home,0.0,0,0,0,no,yes,4782.45534830104,1163179.2402335317,0.0004177143244917,2254587.3296642094,umMTC,no,-1163179.2402335317,-0.0004177143244917,-2254587.3296642094,inf,0
3D/UHD Video,,0,0,1000,no,no,8511.66554574904,3397650.9542843457,0.0005306787341163,2919926.4035400148,feMBB,yes,-3397650.9542843457,,-2919926.4035400148,8.51166554574904,0
Remote health monitoring,,1000000,0,0,no,yes,472.49719451276087,3539789.2190955444,0.0006226345627193,1301710.3301701676,mURLLC,yes,-2539789.2190955444,,-1301710.3301701676,inf,0
Motion control,,1000,1000000,0,no,no,6167.413112410232,1700639.2804942336,0.0005362986441045,2856010.2017139536,ERLLC,yes,-1699639.2804942336,,-1856010.2017139536,inf,0
Motion control,,1000,1000000,0,no,no,3871.0872652588287,784387.8521993512,0.0003399508696977,1990373.587188912,ERLLC,yes,-783387.8521993512,,-990373.5871889121,inf,0
V2X,,1000000,0,0,yes,no,4441.397650779266,2807239.0378330075,0.0004816834920221,2454393.849670466,MBRLLC,yes,-1807239.0378330075,,-2454393.849670466,inf,0
Smart Home,0.0,0,0,0,no,yes,3437.8248055744034,2224068.1789903115,0.0004600620386302,2584486.680991802,umMTC,no,-2224068.1789903115,-0.0004600620386302,-2584486.680991802,inf,0
Motion control,,1000,1000000,0,no,no,2721.663253987074,2513345.067794017,0.000424230364603,2111021.79128014,ERLLC,yes,-2512345.067794017,,-1111021.7912801402,inf,0
3D/UHD Video,,0,0,1000,no,no,5209.874458247423,1576831.611551074,0.0003618950000917,2728858.768758208,feMBB,yes,-1576831.611551074,,-2728858.768758208,5.209874458247423,0
Smart City,0.0,0,0,0,no,yes,5438.462010201703,1307802.011802842,0.0006459199296886,1717287.641201215,umMTC,no,-1307802.011802842,-0.0006459199296886,-1717287.641201215,inf,0
Smart City,0.0,0,0,0,no,yes,6114.288707855698,1840380.379263892,0.0005785093784751,1984442.572026695,umMTC,no,-1840380.379263892,-0.0005785093784751,-1984442.572026695,inf,0
Remote health monitoring,,1000000,0,0,no,yes,2192.0413637707006,2116192.8803597884,0.0005772007458398,1485971.7623759357,mURLLC,yes,-1116192.8803597884,,-1485971.7623759357,inf,0
Motion control,,1000,1000000,0,no,no,6456.974893741233,1512367.9101430476,0.0001912698524344,1539426.1745540388,ERLLC,yes,-1511367.9101430476,,-539426.1745540388,inf,0
Motion control,,1000,1000000,0,no,no,6486.697289166264,2864433.680861684,0.0004335334989952,2127376.0329120406,ERLLC,yes,-2863433.680861684,,-1127376.0329120406,inf,0
Smart City,0.0,0,0,0,no,yes,5707.918728438048,841728.9625091366,0.0007083082158835,2566441.580602521,umMTC,no,-841728.9625091366,-0.0007083082158835,-2566441.580602521,inf,0
Motion control,,1000,1000000,0,no,no,4298.96746515541,2272839.334041932,0.0005655165702898,1141969.5316065429,ERLLC,yes,-2271839.334041932,,-141969.53160654288,inf,0
Smart Home,0.0,0,0,0,no,yes,5514.500040170376,2084175.6332809185,0.0003060548266613,2261730.475704244,umMTC,no,-2084175.6332809185,-0.0003060548266613,-2261730.475704244,inf,0
Servo motors,,100,1000,0,no,no,4733.111646825598,2812547.53171248,0.0007778206261082,2782221.606875759,ERLLC,yes,-2812447.53171248,,-2781221.606875759,inf,0
VR/AR,,0,0,1000,no,no,6614.532463920013,1360484.978139123,9.593840211744092e-05,2879539.2233900954,feMBB,yes,-1360484.978139123,,-2879539.2233900954,6.614532463920012,0
V2X,,1000000,0,0,yes,no,4389.653927505016,2470553.061245004,0.0005212585875963,1923367.6224576076,MBRLLC,yes,-1470553.0612450042,,-1923367.6224576076,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5180.522712722768,2318070.9728724626,0.0007859542588424,1297891.3025943737,mURLLC,yes,-1318070.9728724626,,-1297891.3025943737,inf,0
Servo motors,,100,1000,0,no,no,2103.586378715594,2162760.3065541573,0.0002386515985432,2446159.0017295675,ERLLC,yes,-2162660.3065541573,,-2445159.0017295675,inf,0
Smart City,0.0,0,0,0,no,yes,5509.282098685504,1408956.158755844,0.0004206022654918,2295962.6258371472,umMTC,no,-1408956.158755844,-0.0004206022654918,-2295962.6258371472,inf,0
Motion control,,1000,1000000,0,no,no,3751.367507567256,1484591.2042632918,0.0002656671924358,1999172.0710719624,ERLLC,yes,-1483591.2042632918,,-999172.0710719624,inf,0
V2X,,1000000,0,0,yes,no,5854.5249512313885,1802459.2117043524,0.0007352660940505,1809452.076708089,MBRLLC,yes,-802459.2117043524,,-1809452.076708089,inf,0
Motion control,,1000,1000000,0,no,no,6314.410087930515,1664894.596647045,0.0003634780878536,2224446.497120327,ERLLC,yes,-1663894.596647045,,-1224446.4971203269,inf,0
3D/UHD Video,,0,0,1000,no,no,3983.980091999262,2840075.321149767,0.000665699667334,2280394.622808533,feMBB,yes,-2840075.321149767,,-2280394.622808533,3.9839800919992623,0
3D/UHD Video,,0,0,1000,no,no,5052.47530606245,2090372.3234336567,0.0007314800178133,1726591.0866508707,feMBB,yes,-2090372.3234336567,,-1726591.0866508707,5.052475306062449,0
V2X,,1000000,0,0,yes,no,5291.295769770204,2529840.406529092,0.0002858224497564,1854692.2136181071,MBRLLC,yes,-1529840.4065290922,,-1854692.2136181071,inf,0
V2X,,1000000,0,0,yes,no,5613.878209266879,1032556.204328335,0.0002507345382496,1073235.7976532292,MBRLLC,yes,-32556.204328335007,,-1073235.7976532292,inf,0
Smart City,0.0,0,0,0,no,yes,6316.7980664355855,772019.8358959025,0.0005798609880332,2205434.4544421406,umMTC,no,-772019.8358959025,-0.0005798609880332,-2205434.4544421406,inf,0
V2X,,1000000,0,0,yes,no,6098.742125409711,1881458.6730372307,0.0006292690498451,2276414.2192090177,MBRLLC,yes,-881458.6730372307,,-2276414.2192090177,inf,0
Smart Home,0.0,0,0,0,no,yes,4367.412802970986,1147839.1779875914,0.0004882491125115,1180368.431919061,umMTC,no,-1147839.1779875914,-0.0004882491125115,-1180368.431919061,inf,0
Motion control,,1000,1000000,0,no,no,7664.103494935314,2026586.6704513123,0.0005042641272175,1929186.2243572045,ERLLC,yes,-2025586.6704513123,,-929186.2243572045,inf,0
Servo motors,,100,1000,0,no,no,6253.687128955315,1437930.5733628194,0.00074664026823,1650862.290624217,ERLLC,yes,-1437830.5733628194,,-1649862.290624217,inf,0
Delivery drones,,1000000,0,0,yes,no,7342.173129688002,2204124.20370604,0.0004600065460644,2760720.529229133,MBRLLC,yes,-1204124.20370604,,-2760720.529229133,inf,0
V2X,,1000000,0,0,yes,no,5578.286754499303,1478108.8110200427,0.0007294028164658,1155090.871172438,MBRLLC,yes,-478108.81102004275,,-1155090.871172438,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5676.774791221688,2374035.7421702463,0.0004039466235737,2746472.174912727,mURLLC,yes,-1374035.7421702463,,-2746472.174912727,inf,0
3D/UHD Video,,0,0,1000,no,no,4805.201112834328,1412667.437946044,0.0008995942905388,2847913.0953283645,feMBB,yes,-1412667.437946044,,-2847913.0953283645,4.805201112834328,0
Smart Home,0.0,0,0,0,no,yes,4260.949831683581,757132.155409185,0.0003525236246579,381402.9320973547,umMTC,no,-757132.155409185,-0.0003525236246579,-381402.9320973547,inf,0
Delivery drones,,1000000,0,0,yes,no,6625.901078810431,2568469.033301384,0.0006973549124933,2428079.940866797,MBRLLC,yes,-1568469.0333013842,,-2428079.940866797,inf,0
Servo motors,,100,1000,0,no,no,5441.44027586493,1487515.0464478466,0.0003389233687288,2337773.4288846776,ERLLC,yes,-1487415.0464478466,,-2336773.4288846776,inf,0
Delivery drones,,1000000,0,0,yes,no,4781.248851451927,2915002.494924833,0.0006310989948881,984816.2212532472,MBRLLC,yes,-1915002.494924833,,-984816.2212532472,inf,0
V2X,,1000000,0,0,yes,no,3296.295461045308,1572330.9959339364,0.0004987204803352,1785322.3329008964,MBRLLC,yes,-572330.9959339364,,-1785322.3329008964,inf,0
Smart City,0.0,0,0,0,no,yes,7592.100043590581,1451561.343262407,0.0005463158497521,1709895.6271340996,umMTC,no,-1451561.343262407,-0.0005463158497521,-1709895.6271340996,inf,0
3D/UHD Video,,0,0,1000,no,no,5188.190286815178,1810650.00699021,0.0006109566611915,1369063.7689201254,feMBB,yes,-1810650.00699021,,-1369063.7689201254,5.188190286815178,0
3D/UHD Video,,0,0,1000,no,no,2956.1668250652847,1626410.1569242452,0.0005409951781086,1575357.5979574102,feMBB,yes,-1626410.1569242452,,-1575357.5979574102,2.9561668250652846,0
Smart City,0.0,0,0,0,no,yes,5136.190539296568,2084112.5685899795,0.0005263045722985,2566991.254314135,umMTC,no,-2084112.5685899795,-0.0005263045722985,-2566991.254314135,inf,0
Motion control,,1000,1000000,0,no,no,4665.666090405363,2268395.1004845523,0.0001903288322473,2056217.9139738656,ERLLC,yes,-2267395.1004845523,,-1056217.9139738656,inf,0
